x,y,time
5.61092205614895,9.01295129965344,0.1
5.30236336213094,9.46258840401581,0.2
5.11517023544233,8.78011213117473,0.3
5.38828967248865,8.88436231442506,0.4
5.14695232994964,9.2069206063872,0.5
5.5435834198444,8.70721248628136,0.6
4.82238793885998,8.73451658523747,0.7
5.02826472840674,8.51837830955288,0.8
4.8995924785204,8.56242289002812,0.9
4.75632903478568,8.41197733497611,1
5.15421015355786,8.67646477898834,1.1
5.22757249875501,8.54346026855971,1.2
5.0558353280163,8.91984822606487,1.3
4.99916422230118,8.90527847028793,1.4
4.39011733618831,9.15556956207658,1.5
5.24527176687473,9.48530917493919,1.6
4.64232193226714,9.28936751364437,1.7
5.08220700616326,9.1179286346802,1.8
4.5456709844251,8.92375851176541,1.9
5.39781381783491,9.41385228303244,2
5.03430188046743,9.10608919382607,2.1
4.72632854568744,8.86748364128998,2.2
4.83711563899496,8.58024143070296,2.3
5.13580419736751,9.13352334659596,2.4
5.00768884490813,8.75004101188216,2.5
4.95291644205397,8.45830598832589,2.6
5.2896195236501,8.8523485468375,2.7
5.0694115989769,8.85668699917079,2.8
5.26630135455144,8.63136635487712,2.9
4.94388045422542,8.33308202509009,3
4.91582479273247,8.33377833227868,3.1
4.85048168707118,8.24956743634475,3.2
4.75753215102159,8.42955624252427,3.3
4.67356527757629,8.24306473479508,3.4
4.95497137221194,8.53957739120312,3.5
5.32822337185801,8.73898327571012,3.6
4.63232346389915,7.98858955619175,3.7
4.87304996590025,8.21814638167214,3.8
5.13299644415333,8.60499888507999,3.9
5.0471340715767,9.13908787665564,4
4.46804434873118,9.19468419253166,4.1
4.85109298507778,9.23533124772601,4.2
4.48775453104121,8.86290490714923,4.3
4.25803850484997,8.66475168963019,4.4
4.61097421298515,8.80434291849488,4.5
4.69887848553476,8.93671986712512,4.6
4.37881771199817,8.57457879177366,4.7
5.13591957414994,9.50118427495352,4.8
4.43847415567611,8.6967133451997,4.9
5.06501449020762,8.98180592055076,5
4.61858892232952,8.52402283848208,5.1
4.88570347410946,9.03877366031794,5.2
5.01971272294618,8.83756956847571,5.3
4.89963914204697,8.79496695819859,5.4
5.09072578741257,9.16120445273119,5.5
4.58346232558117,9.396329661291,5.6
5.12834877962345,8.56133598476287,5.7
5.71780925806015,8.72588432318521,5.8
5.39140341793615,8.9545505955107,5.9
5.32281077224834,8.6959082558292,6
5.25670689234565,8.81176071981566,6.1
5.24150477053118,8.27658951707904,6.2
4.97247421997862,8.57611599450246,6.3
4.48102576682902,8.80926817751394,6.4
4.98499870962457,8.51908210450716,6.5
5.13688376653093,8.77365605025366,6.6
5.05654869360407,9.07606506569745,6.7
5.47998322132058,8.84738000458789,6.8
5.02949064854386,9.20576834810621,6.9
5.02522579605382,9.22952340705615,7
5.32638164439184,8.9991571641351,7.1
5.12933300395138,9.51882699157114,7.2
5.48418139405351,9.406941084019,7.3
5.038931391934,9.66696537766966,7.4
4.72833800030355,9.16825956555232,7.5
5.07594831685871,9.42892160284454,7.6
5.7075655490507,9.33802733080278,7.7
5.07973907261959,9.68259146168819,7.8
5.31460940220845,9.53220607214807,7.9
5.53411653368722,10.1320013607309,8
5.33597971854075,9.64326986793814,8.1
5.37474102032538,9.83141094857077,8.2
5.58418097597719,9.35519377868053,8.3
6.01309288830167,9.85246236510091,8.4
5.78292521296459,9.2233193385654,8.5
5.91390527866341,9.68227907305639,8.6
5.82526531918756,9.42036013660758,8.7
5.55370617442414,9.31807985729393,8.8
5.82876772754296,9.88346664858627,8.9
6.01242572760607,9.29060907183474,9
5.76006941673382,9.48558916731926,9.1
5.82672126568586,9.51455401262913,9.2
5.40363884803215,9.6459350489924,9.3
5.87722206328065,9.72998891813445,9.4
6.16321242280013,9.16479436823228,9.5
5.97364976827455,9.87337547131714,9.6
5.61231284516682,10.0267220530012,9.7
5.83535898699073,9.65218072067861,9.8
6.20172027147299,9.9806609497592,9.9
5.86152680890091,9.79023649180585,10
5.51128269041724,9.51495140100519,10.1
5.11752062035387,9.60429878442068,10.2
5.24170117296259,9.68066265024492,10.3
5.01208385609933,9.67392625645279,10.4
5.37485263473809,9.91601594502399,10.5
5.47212604729522,9.93748181113791,10.6
5.40876712363187,10.2247018124578,10.7
5.73358377811971,10.6204870498603,10.8
5.43712163863679,9.91251593084069,10.9
5.25635436412764,10.333831505347,11
5.95590333993826,10.1159148353234,11.1
4.98538349510356,9.80985817500074,11.2
5.15634218195738,9.56500248133066,11.3
5.53861688252692,10.1135264967603,11.4
5.4674327307242,9.45254891496243,11.5
6.05080395015226,9.36991695644824,11.6
4.9296855362299,9.76292536688138,11.7
5.80611331787769,10.170201038875,11.8
5.80477220923805,9.89738545335547,11.9
5.50069534081829,9.87968534455508,12
6.08783535692084,10.0029471811078,12.1
6.22845523086259,9.42079748365479,12.2
6.17007602234446,10.3086430261855,12.3
6.20311334247215,10.0665255521014,12.4
6.0434577603085,9.99782017016941,12.5
6.02847012011572,9.83910187990491,12.6
6.26585284786781,9.58606043036472,12.7
5.82487440152058,9.74707100796745,12.8
6.30579617017731,9.73230251026584,12.9
6.66368381131474,9.73919814928298,13
6.70850681135718,9.68338260195725,13.1
6.48276983074737,9.33298556234489,13.2
6.20272969543586,9.66455671159666,13.3
6.98290584873475,9.85729372028757,13.4
6.99980479738823,9.44732190063035,13.5
6.69038713749034,9.14812752178789,13.6
6.82249824870283,10.0319808251104,13.7
7.34903498613454,9.6574104008878,13.8
7.00449403804192,10.1435588816926,13.9
6.43316045818718,9.65264156341626,14
6.32602371704499,9.70492359647023,14.1
6.69479047068024,9.81901093556189,14.2
6.53959016111429,9.71895857191845,14.3
6.41560570515275,9.57822231364587,14.4
6.23570362910981,10.2135022239325,14.5
6.57775238800562,10.2811449935972,14.6
6.12207021914697,9.96235542073353,14.7
5.905395166777,9.86286463521207,14.8
5.88309211906543,9.5496933828829,14.9
5.92896250838095,9.44292310326766,15
6.39449845037367,9.79862745057398,15.1
5.71855753244118,9.48622072708735,15.2
6.20849479570986,9.51133073583479,15.3
6.23136087252276,9.27709298048418,15.4
6.42249989910731,9.86845631062489,15.5
5.91160844415593,9.88903643311056,15.6
5.6782256902242,9.80867447754828,15.7
6.47979355271417,9.78447072052324,15.8
5.5757650952512,9.38405351650815,15.9
6.26080995229563,9.96923640152866,16
6.24293215417581,9.74769166187993,16.1
6.25013286135275,9.89761540933273,16.2
6.58845586564389,9.44705807332194,16.3
6.6049584368015,9.11545386090536,16.4
6.61378814457195,9.37757922764358,16.5
6.24637276722618,9.5872009359294,16.6
6.59995911120021,9.91600108964256,16.7
6.70138465609348,9.22576543140903,16.8
7.04307206099223,9.0365817638651,16.9
6.67016541373708,9.52033911243762,17
6.72869446689831,9.26514120807106,17.1
6.42211010981291,9.80049189233488,17.2
6.96393305269082,9.39108827248526,17.3
6.5886133633812,9.4077417563294,17.4
6.46804891405722,9.09764519630585,17.5
6.01755570982381,9.9087621912213,17.6
6.33623319845337,9.43783584879582,17.7
6.20820110130039,9.99360562766236,17.8
6.19558262222762,10.2231972862586,17.9
6.20576199144902,9.58414347025394,18
6.37780308327275,9.1598860081231,18.1
6.89670533706486,9.41705708496909,18.2
6.42297832560664,9.15131729303706,18.3
6.94171877612554,9.51797818668347,18.4
6.37488579595468,9.02190511215735,18.5
6.19342684261506,9.17904936263722,18.6
6.70204557385724,9.23645740876535,18.7
6.55229358914409,8.79893807659367,18.8
6.18845577960546,9.33920788015534,18.9
5.66089386960297,9.68343739813174,19
5.77506022104732,9.2751866940859,19.1
6.06947711253738,9.153607071993,19.2
5.80097883455631,9.16636870606827,19.3
5.77941098900093,9.30628080096427,19.4
5.84624440553158,9.10743154233644,19.5
5.95321008955592,9.38876923248332,19.6
6.16997348309493,9.08247052404569,19.7
5.74773280949878,9.24588594281811,19.8
5.85675641287256,9.73974303368656,19.9
6.17718184826806,9.15493490762861,20
5.81461208752484,8.94241958452032,20.1
5.25739349253881,9.36238962298566,20.2
5.62221451599556,8.88484016939299,20.3
5.65451850844043,9.10293165963694,20.4
5.6708139556045,8.7083081510933,20.5
5.64088137366361,9.01205626036049,20.6
5.44018505570318,8.94557634004551,20.7
5.27172744558388,8.84851922860272,20.8
5.84017312345215,8.98379286372751,20.9
6.2822749737251,8.38830972632323,21
5.31895179196661,8.28823865246071,21.1
5.70067118465831,8.48175767713595,21.2
5.71188715889509,8.86957810633685,21.3
5.65141058822082,8.36201002908872,21.4
5.83810244345385,8.55515886869098,21.5
5.29035345232434,8.20985345659277,21.6
4.96472812827399,9.13306388664904,21.7
5.40203507119516,8.37905660348569,21.8
6.07669091675216,8.40365813352446,21.9
6.06075154502544,8.94782379978496,22
6.04158735561702,8.73966255079705,22.1
5.91253222103895,8.27321664597754,22.2
5.59097625901806,8.75133712080378,22.3
5.83694708276064,8.8483554804551,22.4
5.23377683702077,9.18459538753283,22.5
6.0840013537345,8.58411681283633,22.6
5.30747700183992,8.4629541918468,22.7
5.78437904681816,8.61849165292252,22.8
6.0402818467569,8.41814444093722,22.9
5.18608993791873,8.52196941956501,23
5.32664596069341,8.47874790548253,23.1
4.8600284794318,8.43229590153829,23.2
5.30362352627971,8.73676177475076,23.3
5.21637620511005,9.07672120595087,23.4
5.19492334794687,8.49593953634035,23.5
5.31043410034953,8.48307891445742,23.6
5.38851857556731,8.69237521790118,23.7
4.88783198982754,8.3344361978814,23.8
5.4017876650086,8.28288842060527,23.9
5.71756700596614,8.32917497192214,24
5.73724749506887,8.19391390601826,24.1
4.96054977254351,8.89096868060087,24.2
5.54784410435287,8.11419915330504,24.3
5.5594520163183,8.02249549728963,24.4
5.22833533929228,8.19561435072449,24.5
5.22304146014559,8.27277798253638,24.6
6.09762511015543,8.86713610384408,24.7
5.93920719361343,9.17534480948348,24.8
5.70570739308781,8.42195114472988,24.9
5.39399709487972,9.13650346643751,25
5.56655962319166,8.57112620739525,25.1
5.04702538466255,8.99076303867971,25.2
5.24348599508198,8.60117323035032,25.3
5.34181440234157,9.30127816821547,25.4
5.08344180124206,8.74464232534762,25.5
5.50179369653335,8.43739721060712,25.6
5.41240828109812,8.61809408868778,25.7
5.08872918755018,8.67325573901572,25.8
5.22924426232452,7.91112834576582,25.9
5.09188712299248,8.5346571065533,26
4.49208003967796,8.50676036791272,26.1
5.14814934003694,8.54403879091893,26.2
4.76089977480828,8.6508806087744,26.3
4.54198277500119,8.27283985566665,26.4
5.24471311687122,8.08888059699948,26.5
4.77957513864833,8.11763624024916,26.6
5.2196512725708,8.18434417852704,26.7
4.56885285482594,8.30743339987452,26.8
5.02054231084266,8.24617285509135,26.9
5.37731226692832,8.32457745195083,27
5.48439365656537,8.45325939055259,27.1
5.25284802741327,8.49570545989074,27.2
5.22456975022749,8.59003757596817,27.3
5.10682234211493,8.76598589012045,27.4
5.61078467448039,8.55292580578816,27.5
4.96355086009515,9.12770169535758,27.6
5.026618274764,8.49541083103311,27.7
5.12387880987303,8.5574539845782,27.8
5.26731470193536,8.67490960317356,27.9
5.09950340215292,8.67069274169449,28
5.63915491411824,8.92830795006715,28.1
5.3212865563133,8.56347019998256,28.2
4.84230362704701,8.95382372923471,28.3
5.21339512867451,8.79048685888072,28.4
4.97221678752553,8.5704317262654,28.5
5.1434122919324,8.42790744441162,28.6
5.43153359219327,9.11860990905524,28.7
4.91363313062566,8.90674215887608,28.8
5.02100680461742,8.70354103101414,28.9
4.65409356988911,8.85735975132588,29
5.3243195282484,8.97286634879021,29.1
5.01706240851308,8.77151494329471,29.2
5.03336718863878,8.80011477904488,29.3
5.04417698760597,9.21857376350693,29.4
4.99582583847288,9.3658811432428,29.5
5.16498756849082,9.59650257126077,29.6
5.29323108306057,9.13588080882707,29.7
5.35384338177962,9.23704687519927,29.8
5.77799478539661,9.14185374685781,29.9
5.38917821250381,8.67168436418783,30
5.65590026354951,8.67757134770373,30.1
5.56577813401814,8.93700074622521,30.2
5.277881290406,9.07996865625486,30.3
5.0100777735629,9.13797844880385,30.4
5.43508863916675,9.5148640838612,30.5
5.27420389159688,8.71490856744669,30.6
5.29463900495469,9.11078566367943,30.7
5.72796776333793,9.47375726873538,30.8
4.92448535179768,9.15441444742422,30.9
5.31025007986992,9.3463275866086,31
5.04877704800993,9.83628164405778,31.1
5.38440408367298,9.23880536213067,31.2
5.13652058812649,9.21004970095522,31.3
4.68182343549619,9.67052162976599,31.4
5.02563792689939,9.36997221757776,31.5
5.54068983645484,9.26470185500623,31.6
5.6339053081812,9.52902625736113,31.7
5.48874917477709,9.11457761190558,31.8
5.71851154918452,9.48771642835743,31.9
5.32486532363606,9.41684995138474,32
5.50084433787993,9.01929866881335,32.1
5.62211111420902,9.11972637200111,32.2
5.67232631089036,9.25097769173503,32.3
5.45446993260648,9.72907437805205,32.4
5.88610084467209,9.34283535154681,32.5
5.77224244811653,9.69682176678047,32.6
5.7258877679056,9.70725190109779,32.7
6.1221675404857,9.34717913917627,32.8
5.52587475112809,9.18194719269808,32.9
6.1281252641487,9.6639017388998,33
6.84805419510595,9.2910113158224,33.1
6.40066456154781,9.27476901552345,33.2
6.55563643254865,9.04127927409496,33.3
6.35675770384307,8.90796192922302,33.4
6.12998892019852,9.47851180245446,33.5
6.28108329305204,9.43527203161285,33.6
6.5008593710166,9.24648217643053,33.7
6.40345692610587,9.38051285504215,33.8
6.29701099395727,8.79853825578225,33.9
6.55911833895055,9.48917652157262,34
6.02761545693469,9.43357459107768,34.1
6.2672701375688,9.08224191080409,34.2
6.05338858846465,8.92552005347029,34.3
6.30755301981541,8.66985735854227,34.4
5.76719780465795,8.99039985703213,34.5
6.83826720974123,8.88281392685031,34.6
6.41456054869467,8.724284880942,34.7
6.05621568353814,8.93324711074841,34.8
5.70294361416301,9.06263966700916,34.9
6.23950468155915,8.71072497044262,35
5.90119935898675,8.60500001479644,35.1
5.86405900251034,8.94642819362052,35.2
5.97383437082224,8.91856666954339,35.3
5.54815257190019,9.17176525668641,35.4
5.75479915868521,8.86011702690533,35.5
6.30464124728434,9.01923693155507,35.6
5.58848390400903,8.73769245805817,35.7
5.66541420152622,8.94907542833496,35.8
5.68267381271523,9.15997909961899,35.9
5.74534187398773,8.78051458273801,36
5.54975285707407,8.78377119666431,36.1
5.50731938313558,8.56971538571661,36.2
4.98725012885499,8.88414517142997,36.3
5.18458983557646,8.01219089144924,36.4
5.57271775423143,8.27460213120632,36.5
5.3043032423944,7.94559671279245,36.6
5.28233290770028,8.17117651004885,36.7
5.02937725586073,8.1395098577983,36.8
5.61098227366398,8.61348121046578,36.9
5.46718449051502,8.72951429068829,37
5.85343933459826,8.37164708247154,37.1
5.11830313865517,7.076511017259,37.2
5.47015703949418,8.17981912487193,37.3
5.86715639076178,7.99989134363783,37.4
5.69340169423196,8.12856911481878,37.5
5.63919031631795,7.84730274315026,37.6
5.58753017477979,7.85631726900496,37.7
5.65181820414953,7.87920783232164,37.8
5.90012433832792,7.97183213225672,37.9
6.03299254894315,7.83870791765457,38
5.48874193271207,8.36174324799652,38.1
6.27990451716244,7.69775961010939,38.2
6.57633654204264,8.41311432143507,38.3
6.12988177466646,8.25619629690251,38.4
5.8560728034446,8.01995933676461,38.5
6.13845736465673,8.05887323372266,38.6
5.95334809193564,8.02851322605883,38.7
6.00837483868558,7.88652952308615,38.8
6.43681963248082,8.33430006525155,38.9
6.31437457617281,7.66892613505425,39
6.65675173816607,7.82693852090539,39.1
6.58042898149468,8.22216205521668,39.2
6.36946192596379,7.86101779639318,39.3
6.72524499119609,8.22996569051646,39.4
6.63641470820396,7.99239720543046,39.5
6.71462865444119,7.99393123730211,39.6
7.09352339871313,7.98580283276774,39.7
6.96700077222452,8.21282913242492,39.8
6.56358113128192,7.93373250028468,39.9
6.92133177225443,7.48859836822948,40
6.77100397923844,8.39341476643622,40.1
6.76885794629897,7.74552580944683,40.2
6.74939406464139,7.90848897772035,40.3
6.56604421850412,7.66674583206852,40.4
6.29297537475531,8.12103273497199,40.5
6.74488088959026,7.86681947704576,40.6
6.50108947740496,7.97189346795304,40.7
6.17398028970788,8.09000085218704,40.8
6.58436740186639,8.22725004580474,40.9
6.38555100297022,8.14632266394134,41
6.7287338954119,7.71668018955569,41.1
6.51182615580985,8.22653161125161,41.2
6.73323877652747,7.68840003018428,41.3
6.51408158850556,8.01602390457288,41.4
6.49426079075548,7.40525787253784,41.5
6.6720292402169,7.83586521571839,41.6
6.30173475494356,7.92211605434821,41.7
7.04849528685217,7.94752623533289,41.8
6.90148156228689,7.79409757419126,41.9
6.4320567150487,7.88700853652928,42
7.04634865830598,7.49558435302357,42.1
6.73284904747782,8.43660658807259,42.2
6.58435028805153,7.51027127692428,42.3
6.63379470944159,7.44718542848353,42.4
7.04187083587474,7.9564907903792,42.5
6.98083677499726,7.72884500800102,42.6
6.9716271245749,7.50161011982013,42.7
6.62684009305427,7.78330790570801,42.8
6.92730376216337,7.78135155933272,42.9
6.92856453656155,8.04868442208089,43
6.83441867170262,8.2480006694867,43.1
6.99024942074145,7.25734537977143,43.2
6.93244137479873,7.88530830531402,43.3
6.65110685015624,7.93699388859044,43.4
7.0674754066945,7.45983648692056,43.5
7.0467226651134,7.86846216741442,43.6
7.01254574478279,7.89251683379199,43.7
6.97222877717165,7.83814320406467,43.8
6.56903879466702,7.5546344427047,43.9
6.60151572484316,8.11115596012457,44
6.85276056176,8.05121086094245,44.1
6.35799470988742,7.81871847359291,44.2
6.63106885716311,8.08131552258326,44.3
6.53493764771423,7.67002001116286,44.4
6.91147608357105,7.45653850785664,44.5
6.36193144251902,7.74563123912369,44.6
6.51818836512647,7.70094623036517,44.7
6.66396724527682,7.98290815888089,44.8
6.97124898397466,7.93784490942222,44.9
6.65773025723384,8.19888109364829,45
6.87544234918041,7.57918001399719,45.1
6.74441550743477,7.98575738318792,45.2
6.91330776423889,7.86860737708251,45.3
7.32894387701082,7.98982874900325,45.4
7.00391423840437,7.67877450039201,45.5
6.94893791128886,7.77306428470002,45.6
6.94415541675076,8.17888131970748,45.7
6.80442787893425,7.60319122711308,45.8
7.19101458021749,7.63888137521047,45.9
7.23719222594127,7.46191320025153,46
7.03638492836169,8.14626785194509,46.1
7.29467880442683,8.02048796074416,46.2
6.98945218639852,8.09189268989111,46.3
7.38589939901401,7.93201215383547,46.4
7.378142356751,8.07020883949173,46.5
7.07196829465149,8.55345405272477,46.6
